Age by year of birth and completed years of age,Legal marital status,Type of building,Census year,Territory,Data type,Gender,Age,0,Flags
"all items","total","all items","2011","Como","resident population (percentage values)","total","65 years and over",20.41,
"all items","total","all items","2011","Asti","ageing index ","total","total",189.73,
"all items","total","all items","2011","Varese","population aged 75 and over (percentage values)","females","75 years and over",63.02,
"all items","total","all items","2011","Savona","resident population (absolute values)","females","total",147808,
"all items","total","all items","2011","Cuneo","resident population (absolute values)","females","total",298592,
"all items","total","all items","2011","Imperia","resident population (absolute values)","total","total",214502,
"all items","total","all items","2011","Lecco","resident population (absolute values)","total","until 4 years",16602,
"all items","total","all items","2011","Lecco","resident population (absolute values)","total","75 years and over",32948,
"all items","total","all items","2011","Lombardia","resident population (absolute values)","total","75 years and over",969515,
"all items","total","all items","2011","Imperia","population aged 85 and over (percentage values)","females","85 years and over",71.07,
"all items","total","all items","2011","La Spezia","resident population (absolute values)","females","until 4 years",4059,
"all items","total","all items","2011","La Spezia","population aged 65 and over (percentage values)","females","65 years and over",58.7,
"all items","total","all items","2011","Liguria","resident population (absolute values)","females","total",828722,
"all items","total","all items","2011","Liguria","resident population (absolute values)","total","65 years and over",431017,
"all items","total","all items","2011","Liguria","dependency ratio ","total","total",63.81,
"all items","total","all items","2011","La Spezia","resident population (percentage values)","total","85 years and over",4.49,
"all items","total","all items","2011","Savona","sex ratio","total","total",90.13,
"all items","total","all items","2011","Cuneo","resident population (absolute values)","total","65 years and over",131497,
"all items","total","all items","2011","Genova","dependency ratio ","total","total",64.16,
"all items","total","all items","2011","Cuneo","resident population (absolute values)","females","until 4 years",13300,
"all items","total","all items","2011","Liguria","sex ratio","total","total",89.53,
"all items","total","all items","2011","Alessandria","resident population (absolute values)","total","65 years and over",113147,
"all items","total","all items","2011","Asti","resident population (percentage values)","total","65 years and over",24.36,
"all items","total","all items","2011","Como","resident population (percentage values)","total","85 years and over",2.64,
"all items","total","all items","2011","Varese","dependency ratio ","total","total",54.54,
"all items","total","all items","2011","Alessandria","sex ratio","total","total",92.23,
"all items","total","all items","2011","Alessandria","resident population (percentage values)","total","until 4 years",3.8,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","resident population (percentage values)","total","65 years and over",21.34,
"all items","total","all items","2011","Valle d'Aosta / Vallée d'Aoste","ageing index ","total","total",152.64,
"all items","total","all items","2011","Imperia","resident population (percentage values)","total","65 years and over",26.71,
"all items","total","all items","2011","Savona","resident population (percentage values)","total","65 years and over",27.99,
"all items","total","all items","2011","Varese","resident population (absolute values)","total","65 years and over",185788,
"all items","total","all items","2011","La Spezia","resident population (percentage values)","total","until 4 years",3.75,
